Role,Company,Company URL,Salary,Location,Application Link,Type,Email,Date Created,idx,job_description,Job_Description
"Senior Software Engineer, Skyvera
  (Remote) - $60,000/year USD",Crossover,https://www.linkedin.com/company/crossover?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Sydney, New South Wales, Australia",https://au.linkedin.com/jobs/view/senior-software-engineer-skyvera-remote-%2460-000-year-usd-at-crossover-3901739287?position=9&pageNum=15&refId=BGxi8IQgJM%2BPHCO0zAJOig%3D%3D&trackingId=RI2EfPXgBCBIyM7nQ1aeiQ%3D%3D&trk=public_jobs_jserp-result_search-card,,,4/21/2024,53,,"Here is a job description for the Senior Software Engineer role at Crossover:

**Job Title:** Senior Software Engineer, Skyvera

**Company:** Crossover

**Location:** Sydney, New South Wales, Australia (Remote)

**Salary:** $60,000/year USD

**Job Type:** Full-time

**About Us:**
Crossover is a fast-paced and innovative company that is changing the way software development is done. We're looking for an experienced Senior Software Engineer to join our Skyvera team and contribute to the development of cutting-edge software solutions.

**Job Summary:**
We're seeking an exceptional Senior Software Engineer to join our Skyvera team. As a Senior Software Engineer, you will be responsible for designing, developing, and delivering high-quality software applications that meet our customers' needs. You will work closely with our cross-functional teams to identify and prioritize project requirements, design and develop software applications, and ensure timely and successful project delivery.

**Responsibilities:**

* Design, develop, test, and maintain software applications using various programming languages and technologies
* Collaborate with cross-functional teams to identify and prioritize project requirements
* Write high-quality, testable, and maintainable code that meets our coding standards
* Participate in code reviews and ensure that solutions are aligned with our technology stack and architecture
* Troubleshoot and debug issues using various debugging tools and techniques
* Collaborate with QA engineers to develop automated tests and ensure software quality
* Stay up-to-date with industry trends and emerging technologies, and apply this knowledge to improve our software development processes and solutions

**Requirements:**

* 5+ years of experience in software development, with a focus on developing scalable and maintainable software applications
* Strong proficiency in programming languages such as Java, Python, or C++
* Experience with cloud-based technologies such as AWS or Azure
* Strong understanding of software development life cycles, agile development methodologies, and version control systems such as Git
* Excellent problem-solving skills, with the ability to debug and troubleshoot complex issues
* Strong communication and collaboration skills, with the ability to work effectively with cross-functional teams
* Bachelor's or Master's degree in Computer Science, Computer Engineering, or a related field

**Nice to Have:**

* Experience with containerization using Docker and orchestration using Kubernetes
* Knowledge of DevOps practices and tools such as Jenkins, Travis CI, or CircleCI
* Experience with front-end development using React, Angular, or Vue.js
* Experience with machine learning or artificial intelligence technologies

**What We Offer:**

* Competitive salary of $60,000/year USD
* Opportunity to work with a fast-paced and innovative company
* Collaborative and dynamic work environment
* Professional development opportunities
* Flexible working hours and remote work arrangements

If you're a motivated and experienced software engineer looking for a new challenge, we encourage you to apply for this exciting opportunity."
"Senior/Staff/Principal Full Stack
  Software Engineer",Relume,https://au.linkedin.com/company/relume?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Sydney, New South Wales, Australia",https://au.linkedin.com/jobs/view/senior-staff-principal-full-stack-software-engineer-at-relume-3889976534?position=10&pageNum=15&refId=BGxi8IQgJM%2BPHCO0zAJOig%3D%3D&trackingId=4F48zPUiMn9VLN34svtCzw%3D%3D&trk=public_jobs_jserp-result_search-card,,,4/21/2024,54,,"Here is a job description for the role:

**Job Title:** Senior/Staff/Principal Full Stack Software Engineer

**Company:** Relume

**Location:** Sydney, New South Wales, Australia

**Salary:** Competitive salary package (negotiable)

**About Us:**
Relume is a forward-thinking technology company that is revolutionizing the way we approach software development. We're a team of innovators, thinkers, and problem solvers who are passionate about building cutting-edge solutions that make a real impact.

**Job Summary:**
We're seeking an exceptional Senior/Staff/Principal Full Stack Software Engineer to join our talented engineering team in Sydney. As a Senior/Staff/Principal Full Stack Software Engineer, you will be responsible for designing, developing, and delivering high-quality software solutions that meet the highest standards of quality, security, and performance.

**Responsibilities:**

* Design, develop, test, and deploy scalable and efficient software applications using a range of programming languages and technologies
* Collaborate with cross-functional teams to identify and prioritize project requirements, and develop solutions that meet business needs
* Write high-quality, testable, and well-documented code that adheres to coding standards and best practices
* Participate in code reviews, ensure knowledge sharing, and contribute to the growth of junior engineers
* Stay up-to-date with industry trends, emerging technologies, and best practices, applying this knowledge to improve our products and services
* Troubleshoot and resolve complex technical issues, collaborating with teams to identify and resolve problems
* Communicate technical information effectively to both technical and non-technical stakeholders

**Requirements:**

* Bachelor's or Master's degree in Computer Science, Engineering, or a related field
* 5+ years of experience in full-stack software development, with a strong focus on front-end development
* Proficiency in multiple programming languages, including JavaScript, HTML/CSS, and at least one server-side language (e.g., Java, Python, Ruby)
* Experience with modern frontend frameworks such as React, Angular, or Vue.js
* Strong understanding of database concepts, including data modeling, normalization, and querying
* Experience with Agile development methodologies and version control systems (e.g., Git)
* Excellent problem-solving skills, with the ability to debug and optimize code
* Strong communication and collaboration skills, with experience working in a team environment

**Nice to Have:**

* Experience with cloud-based platforms (e.g., AWS, Azure, Google Cloud)
* Knowledge of DevOps practices and tools (e.g., Docker, Kubernetes)
* Experience with testing frameworks and automation tools (e.g., Jest, Enzyme, Cypress)
* Familiarity with continuous integration and delivery pipelines

**What We Offer:**

* Competitive salary package
* Opportunities for career growth and professional development
* Collaborative and dynamic work environment
* Flexible working arrangements, including remote work options
* Access to the latest technologies and tools
* Recognition and rewards for outstanding performance

If you're a talented and motivated Full Stack Software Engineer looking for a new challenge, we'd love to hear from you! Apply now to join our team of innovators and take your career to the next level."
"Senior Machine Learning Engineer -
  Content Enrichment",Canva,https://au.linkedin.com/company/canva?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Sydney, New South Wales, Australia",https://au.linkedin.com/jobs/view/senior-machine-learning-engineer-content-enrichment-at-canva-3832651028?position=1&pageNum=17&refId=BBgNiuxGhPyCsyrKwGavow%3D%3D&trackingId=xMqhGq6tNbcUxcAMd7p2Dg%3D%3D&trk=public_jobs_jserp-result_search-card,,,4/21/2024,55,,"Here is a job description for the Senior Machine Learning Engineer - Content Enrichment role at Canva:

**Job Title:** Senior Machine Learning Engineer - Content Enrichment
**Company:** Canva
**Location:** Sydney, New South Wales, Australia
**Salary Range:** Competitive salary package (negotiable based on experience)

**About Canva:**
At Canva, we're a global team of innovators, designers, and engineers working together to make design accessible to everyone. Our platform is used by millions of people around the world, and we're just getting started.

**Job Description:**

We're seeking an exceptional Senior Machine Learning Engineer to join our Content Enrichment team, focused on developing cutting-edge machine learning models that power our innovative design tools. As a Senior Machine Learning Engineer, you will play a critical role in shaping the future of design and creativity, working closely with cross-functional teams to develop and deploy large-scale machine learning models that enhance our product offerings.

**Responsibilities:**

* Design, develop, and deploy high-performing machine learning models that drive business value and customer engagement
* Collaborate with data scientists, engineers, and product owners to develop and integrate machine learning models into our product roadmap
* Experiment with new technologies and techniques to stay at the forefront of machine learning research and applications
* Lead and mentor junior engineers and data scientists to ensure knowledge sharing and collaboration
* Develop and maintain large-scale datasets and data pipelines to support machine learning model development
* Work closely with our data infrastructure team to ensure seamless integration of machine learning models with our data platforms
* Develop and maintain technical documentation and contribute to knowledge sharing within the team

**Requirements:**

* 5+ years of industry experience in machine learning engineering, with a strong background in computer science and software engineering
* Strong expertise in machine learning, deep learning, and neural networks; experience with PyTorch, TensorFlow, or similar frameworks
* Proficiency in Python, with experience in developing and deploying large-scale machine learning models
* Experience with data preprocessing, feature engineering, and model evaluation techniques
* Strong understanding of software design patterns, system architecture, and scalability principles
* Experience with agile development methodologies and version control systems (e.g., Git)
* Excellent communication and collaboration skills, with the ability to work with cross-functional teams
* Strong problem-solving skills, with the ability to debug and optimize machine learning models

**Nice to Have:**

* Experience with computer vision, natural language processing, or recommender systems
* Knowledge of cloud-based platforms (e.g., AWS, GCP) and containerization (e.g., Docker)
* Experience with CI/CD pipelines and automated testing frameworks
* Familiarity with design principles and human-centered design methodologies

**What We Offer:**

* Competitive salary package and benefits
* Opportunities for career growth and professional development
* Collaborative and dynamic work environment with a global team of innovators
* Flexible working arrangements, including remote work options
* Access to cutting-edge technologies and tools
* Ongoing learning and development opportunities
* A fun, vibrant, and supportive company culture

If you're a talented and motivated machine learning engineer with a passion for innovation and creativity, we encourage you to apply!"
"Principal Machine Learning System
  Engineer",Atlassian,https://au.linkedin.com/company/atlassian?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Sydney, New South Wales, Australia",https://au.linkedin.com/jobs/view/principal-machine-learning-system-engineer-at-atlassian-3831561150?position=3&pageNum=17&refId=BBgNiuxGhPyCsyrKwGavow%3D%3D&trackingId=QW12Sjj1sVRLSIAmWzpuZg%3D%3D&trk=public_jobs_jserp-result_search-card,,,4/21/2024,56,,"Here is a job description for a Principal Machine Learning Systems Engineer at Atlassian in Sydney, Australia:

**Job Title:** Principal Machine Learning Systems Engineer

**Company:** Atlassian

**Location:** Sydney, New South Wales, Australia

**Salary Range:** Competitive salary package ( negotiable )

**Job Summary:**

We're looking for an exceptional Principal Machine Learning Systems Engineer to join our Sydney-based team at Atlassian. As a Principal Machine Learning Systems Engineer, you will be responsible for designing, developing, and deploying scalable machine learning models that drive business value across our products. You will collaborate with cross-functional teams to identify opportunities for machine learning applications, architect solutions, and ensure seamless integration with our existing systems.

**Responsibilities:**

* Design, develop, and deploy scalable machine learning models that drive business value across Atlassian products
* Collaborate with cross-functional teams to identify opportunities for machine learning applications, architect solutions, and ensure seamless integration with existing systems
* Develop and maintain large-scale data pipelines to support machine learning model training and deployment
* Work closely with data scientists to develop and deploy machine learning models that meet business requirements
* Ensure the scalability, reliability, and performance of machine learning systems
* Collaborate with engineering teams to integrate machine learning models into Atlassian products
* Stay up-to-date with industry trends and emerging technologies in machine learning and AI

**Requirements:**

* 8+ years of experience in machine learning, software engineering, or a related field
* Strong expertise in machine learning and deep learning algorithms, including supervised and unsupervised learning, neural networks, and reinforcement learning
* Experience with machine learning frameworks such as TensorFlow, PyTorch, or Scikit-Learn
* Proficiency in programming languages such as Python, Java, or C++
* Experience with cloud-based technologies such as AWS or GCP
* Strong understanding of software engineering principles, including design patterns, testing, and deployment
* Excellent communication and collaboration skills, with the ability to work with technical and non-technical stakeholders
* Bachelor's or Master's degree in Computer Science, Machine Learning, or a related field

**Nice to Have:**

* Experience with Atlassian products such as Jira, Confluence, or Bitbucket
* Knowledge of agile development methodologies and version control systems such as Git
* Experience with containerization using Docker and Kubernetes
* Certification in machine learning or a related field

If you're a seasoned machine learning engineer with a passion for building scalable and reliable systems, we'd love to hear from you!"
"Machine Learning – Staff Engineer
  (Bangkok based, relocation provided)",Agoda,https://sg.linkedin.com/company/agoda?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Sydney, New South Wales, Australia",https://au.linkedin.com/jobs/view/machine-learning-%E2%80%93-staff-engineer-bangkok-based-relocation-provided-at-agoda-3878969928?position=4&pageNum=17&refId=BBgNiuxGhPyCsyrKwGavow%3D%3D&trackingId=TmUPXh3NrdI2pEZGNN1gqw%3D%3D&trk=public_jobs_jserp-result_search-card,,,4/21/2024,57,,"Here is a job description for the role:

**Job Title:** Machine Learning – Staff Engineer

**Company:** Agoda

**Location:** Sydney, New South Wales, Australia (Relocation provided from Bangkok)

**Salary:** Competitive salary package

**Job Description:**

We are seeking an exceptional Machine Learning – Staff Engineer to join our team at Agoda in Sydney, New South Wales, Australia. As a Staff Engineer, you will play a critical role in developing and implementing machine learning solutions that drive business growth and improve customer experience. If you have a passion for machine learning and are excited about working on large-scale data sets, we want to hear from you!

**Responsibilities:**

* Design, develop, and deploy machine learning models to solve complex business problems
* Collaborate with cross-functional teams to identify and prioritize projects that leverage machine learning to drive business outcomes
* Develop and maintain large-scale data pipelines to support model training and deployment
* Conduct experiments and analyze results to improve model performance and reliability
* Stay up-to-date with industry trends and advancements in machine learning and apply this knowledge to improve our solutions

**Requirements:**

* **Years of Experience:** 5+ years of experience in machine learning or a related field
* **Skills:**
	+ Strong programming skills in Python, R, or Julia
	+ Experience with machine learning libraries and frameworks (e.g. scikit-learn, TensorFlow, PyTorch)
	+ Familiarity with cloud-based technologies (e.g. AWS, GCP) and containerization (e.g. Docker)
	+ Strong data management skills, including data preprocessing, feature engineering, and data visualization
	+ Excellent problem-solving skills and ability to work collaboratively in a fast-paced environment
	+ Strong communication and presentation skills, with the ability to explain complex technical concepts to non-technical stakeholders

**Nice to Have:**

* Experience with deep learning frameworks and algorithms
* Knowledge of natural language processing or computer vision techniques
* Experience with agile development methodologies and version control systems (e.g. Git)
* Previous experience working with large-scale datasets and distributed computing systems

**What We Offer:**

* Competitive salary package
* Relocation package from Bangkok to Sydney
* Opportunities for professional growth and development in a fast-paced and dynamic environment
* Collaboration with a talented team of engineers and data scientists
* Flexible work arrangements and a supportive work-life balance culture

If you're a motivated and experienced machine learning professional looking for a new challenge, we encourage you to apply!"
Senior Machine Learning Engineer,oOh!,https://au.linkedin.com/company/ooh-media?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Millers Point, New South Wales, Australia",https://au.linkedin.com/jobs/view/senior-machine-learning-engineer-at-ooh%21-3879764016?position=6&pageNum=17&refId=BBgNiuxGhPyCsyrKwGavow%3D%3D&trackingId=QqNBZ%2BbU3noY8TRGmTLksQ%3D%3D&trk=public_jobs_jserp-result_search-card,,,4/21/2024,58,,"Here is a job description for a Senior Machine Learning Engineer at oOh! in Millers Point, New South Wales, Australia:

**Job Title: Senior Machine Learning Engineer**

**Company: oOh!**

**Location: Millers Point, New South Wales, Australia**

**Salary Range: Competitive salary package**

**Job Type: Full-time**

**About oOh!**

oOh! is a leading Out-of-Home media company that creates innovative and engaging experiences for audiences across Australia and New Zealand. We are industry leaders in digital and static signage, and we're passionate about delivering exceptional results for our clients.

**Job Overview:**

We are seeking an experienced Senior Machine Learning Engineer to join our growing technology team in Millers Point. As a Senior Machine Learning Engineer, you will be responsible for developing and implementing machine learning models and algorithms to drive business growth and improve our data-driven decision-making capabilities. You will work closely with cross-functional teams to design, develop, and deploy high-quality machine learning solutions that meet business requirements.

**Responsibilities:**

* Design, develop, and deploy machine learning models and algorithms to solve complex business problems
* Collaborate with data scientists, engineers, and product managers to identify opportunities for machine learning applications
* Develop and maintain large-scale machine learning models and data pipelines
* Work with large datasets to develop and train models, and deploy them to production
* Implement automated testing and validation processes to ensure high-quality model performance
* Stay up-to-date with the latest machine learning trends and technologies, and apply this knowledge to improve our solutions
* Mentor and guide junior engineers to ensure knowledge sharing and skill development

**Requirements:**

* 5+ years of experience in machine learning engineering or a related field
* Strong expertise in machine learning frameworks and libraries such as TensorFlow, PyTorch, or Scikit-Learn
* Proficiency in programming languages such as Python, Java, or C++
* Experience with cloud-based technologies such as AWS, GCP, or Azure
* Strong understanding of data structures, algorithms, and software design patterns
* Excellent problem-solving skills and attention to detail
* Experience working with large datasets and building scalable data pipelines
* Strong communication and collaboration skills, with ability to work effectively in a team environment
* Bachelor's or Master's degree in Computer Science, Engineering, or a related field

**Nice to Have:**

* Experience with deep learning frameworks such as Keras or TensorFlow
* Knowledge of computer vision or natural language processing
* Experience with containerization using Docker
* Familiarity with agile development methodologies
* Certification in machine learning or a related field

**What We Offer:**

* Competitive salary package
* Opportunity to work on high-impact projects that drive business growth
* Collaborative and dynamic work environment
* Ongoing training and professional development opportunities
* Access to the latest technologies and tools
* Flexible working arrangements and a healthy work-life balance

If you're a motivated and talented machine learning engineer looking to take your skills to the next level, we'd love to hear from you!"
Senior Software Engineer,Lookahead,https://au.linkedin.com/company/lookahead-search?trk=public_jobs_jserp-result_job-search-card-subtitle,-,Australia,https://au.linkedin.com/jobs/view/senior-software-engineer-at-lookahead-3898757842?position=10&pageNum=17&refId=BBgNiuxGhPyCsyrKwGavow%3D%3D&trackingId=1w5KepU63sRVYZ2ltIV9kg%3D%3D&trk=public_jobs_jserp-result_search-card,,,4/21/2024,59,,"Here is a job description for the Senior Software Engineer role at Lookahead in Australia:

**Job Title:** Senior Software Engineer

**Company:** Lookahead

**Location:** Australia

**Salary Range:** Competitive package (dependent on experience)

**About Us:**
Lookahead is a cutting-edge technology company that specializes in developing innovative solutions to transform the digital landscape. We're looking for a talented and experienced Senior Software Engineer to join our team in Australia.

**Job Summary:**
We're seeking a highly skilled Senior Software Engineer to lead the design, development, and deployment of our software applications. As a Senior Software Engineer, you will be responsible for architecting and implementing scalable, secure, and efficient software solutions that meet our clients' needs. You will work closely with cross-functional teams to identify and prioritize project requirements, develop technical specifications, and ensure timely delivery of high-quality software products.

**Responsibilities:**

* Design, develop, test, and deploy software applications using various programming languages and technologies
* Collaborate with product owners, designers, and other stakeholders to understand business requirements and develop technical solutions
* Lead and mentor junior engineers to improve code quality, best practices, and knowledge sharing
* Participate in code reviews, ensure adherence to coding standards, and suggest improvements
* Troubleshoot and resolve complex technical issues, including debugging and testing
* Stay up-to-date with industry trends, best practices, and emerging technologies
* Participate in Agile development methodologies, including sprint planning, daily stand-ups, and retrospectives

**Requirements:**

* 5+ years of experience in software development, with a focus on object-oriented programming languages (Java, C#, etc.)
* Strong proficiency in software design patterns, data structures, and algorithms
* Excellent problem-solving skills, with the ability to debug and troubleshoot complex issues
* Experience with cloud-based technologies, such as AWS, Azure, or Google Cloud
* Familiarity with Agile development methodologies and version control systems (Git, SVN, etc.)
* Strong communication and collaboration skills, with the ability to work with cross-functional teams
* Bachelor's or Master's degree in Computer Science, Engineering, or a related field

**Nice to Have:**

* Experience with DevOps tools, such as Docker, Kubernetes, and Jenkins
* Knowledge of machine learning, artificial intelligence, or data science
* Certification in AWS, Azure, or Google Cloud
* Experience with continuous integration and continuous deployment (CI/CD) pipelines

**What We Offer:**

* Competitive salary package
* Opportunities for career growth and professional development
* Collaborative and dynamic work environment
* Flexible working hours and remote work options
* Access to cutting-edge technologies and training programs
* Recognition and rewards for outstanding performance

If you're a motivated and talented software engineer looking for a new challenge, we want to hear from you! Apply now to join our team at Lookahead."
"Lead Data Scientist/Machine Learning
  Engineer (Singapore-based, relocation provided)",Agoda,https://sg.linkedin.com/company/agoda?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Sydney, New South Wales, Australia",https://au.linkedin.com/jobs/view/lead-data-scientist-machine-learning-engineer-singapore-based-relocation-provided-at-agoda-3839797381?position=8&pageNum=22&refId=kXduYh40VZ0ijAHhQ2Er3g%3D%3D&trackingId=8GFR7kyRFRfdaDg4m63kpQ%3D%3D&trk=public_jobs_jserp-result_search-card,,,4/21/2024,60,,"Here is a potential job description for the role:

**Job Title:** Lead Data Scientist/Machine Learning Engineer

**Company:** Agoda

**Location:** Sydney, New South Wales, Australia (relocation assistance provided for Singapore-based candidates)

**Salary Range:** Competitive salary package (negotiable)

**Job Type:** Full-time

**About Us:**
Agoda is a leading online travel agency that provides a booking platform for accommodations, flights, and package deals. We're a team of innovators, data enthusiasts, and travel enthusiasts who are passionate about making travel more accessible and enjoyable for everyone.

**Job Summary:**
We're seeking an experienced Lead Data Scientist/Machine Learning Engineer to lead our machine learning efforts in Sydney, Australia. As a Lead Data Scientist/Machine Learning Engineer, you will be responsible for leading the development and deployment of machine learning models that drive business value for Agoda. You will work closely with cross-functional teams to identify opportunities to leverage machine learning and data analytics to improve our products and services.

**Responsibilities:**

* Lead the development and deployment of machine learning models that drive business value for Agoda
* Collaborate with cross-functional teams to identify opportunities to leverage machine learning and data analytics
* Design, develop, and deploy predictive models and algorithms to solve complex business problems
* Work with large datasets to identify trends, patterns, and correlations
* Develop and maintain data pipelines to feed machine learning models
* Communicate insights and results to stakeholders, including executives, product managers, and engineers
* Lead a team of data scientists and machine learning engineers to achieve business objectives
* Stay up-to-date with industry trends and emerging technologies in machine learning and AI

**Requirements:**

* 5+ years of experience in machine learning, data science, or a related field
* 2+ years of experience in a lead or management role
* Strong proficiency in Python, TensorFlow, PyTorch, or scikit-learn
* Experience with cloud-based technologies such as AWS or GCP
* Strong understanding of machine learning concepts, including supervised and unsupervised learning, neural networks, and deep learning
* Experience with data visualization tools such as Tableau, Power BI, or D3.js
* Excellent communication and leadership skills
* Bachelor's or Master's degree in Computer Science, Statistics, Mathematics, or a related field

**Nice to Have:**

* Experience with containerization using Docker
* Familiarity with Agile development methodologies
* Knowledge of SQL and database management systems
* Certification in machine learning or data science

**What We Offer:**

* Competitive salary package
* Relocation assistance for Singapore-based candidates
* Opportunities for career growth and professional development
* Collaborative and dynamic work environment
* Access to cutting-edge technologies and tools
* Flexible working hours and remote work options
* Comprehensive health insurance and wellness programs
* Annual performance bonuses and stock options

If you're a passionate data scientist or machine learning engineer with a track record of leading teams and driving business value, we'd love to hear from you!"
"AI Audio Codec Algorithm and
  Standardization Engineer",TikTok,https://www.linkedin.com/company/tiktok?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Sydney, New South Wales, Australia",https://au.linkedin.com/jobs/view/ai-audio-codec-algorithm-and-standardization-engineer-at-tiktok-3849615264?position=9&pageNum=22&refId=kXduYh40VZ0ijAHhQ2Er3g%3D%3D&trackingId=xJfQsQAogIHi2svrS%2F9R2w%3D%3D&trk=public_jobs_jserp-result_search-card,,,4/21/2024,61,,"Here is a job description for the specified role:

**Job Title:** AI Audio Codec Algorithm and Standardization Engineer

**Company:** TikTok

**Location:** Sydney, New South Wales, Australia

**Salary Range:** Competitive salary package (Commensurate with experience)

**Job Summary:**

We are seeking an exceptional AI Audio Codec Algorithm and Standardization Engineer to join our team at TikTok in Sydney, Australia. As an AI Audio Codec Algorithm and Standardization Engineer, you will be responsible for designing, developing, and optimizing audio codec algorithms and standards for TikTok's audio-related products and services. You will work closely with cross-functional teams to ensure seamless integration of audio codecs and standards across various platforms.

**Responsibilities:**

* Design, develop, and optimize audio codec algorithms and standards for TikTok's audio-related products and services
* Collaborate with teams to integrate audio codecs and standards into TikTok's products and services
* Conduct research and analysis on emerging audio codec technologies and standards, and recommend innovations to improve TikTok's audio capabilities
* Participate in industry standards organizations (e.g. MPEG, IETF) to contribute to the development of audio codec standards
* Develop and maintain documentation and technical reports on audio codec algorithms and standards
* Collaborate with quality assurance teams to ensure audio codec algorithms meet product requirements

**Requirements:**

* Bachelor's or Master's degree in Electrical Engineering, Computer Science, or a related field
* At least 5 years of experience in audio codec algorithm development, audio signal processing, and audio standardization
* Strong knowledge of audio codec algorithms, audio signal processing techniques, and related standards (e.g. AAC, Opus, Dolby)
* Experience with programming languages such as C, C++, Python, and MATLAB
* Strong understanding of digital signal processing, acoustics, and psychoacoustics
* Excellent problem-solving skills, with the ability to analyze complex technical issues and develop creative solutions
* Strong communication and collaboration skills, with the ability to work effectively with cross-functional teams
* Experience with Agile development methodologies and version control systems (e.g. Git)

**Nice to Have:**

* Experience with AI/ML techniques for audio processing and compression
* Knowledge of video coding standards (e.g. H.264, H.265) and multimedia systems
* Experience with cloud-based infrastructure and containerization (e.g. Docker)
* Familiarity with TikTok's products and services

**What We Offer:**

* Competitive salary package
* Opportunity to work on cutting-edge audio technologies and contribute to industry standards
* Collaborative and dynamic work environment
* Professional development opportunities
* Access to the latest technologies and tools
* Flexible working hours and remote work options

If you are a motivated and talented engineer with a passion for audio technology, we encourage you to apply for this exciting opportunity to join the TikTok team!"
AI Solutions Engineer,Relevance AI,www.relevanceai.com,Above market rate,"Sydney, Australia",https://www.linkedin.com/jobs/search/?currentJobId=3883691385&f_C=36167121&geoId=92000000&origin=COMPANY_PAGE_JOBS_CLUSTER_EXPANSION&originToLandingJobPostings=3883691385%2C3855424750%2C3880455562%2C3906939245,Full-time,annie@relevanceai.com,,62,,"Here is a job description for an AI Solutions Engineer at Relevance AI:

**Job Title:** AI Solutions Engineer

**Company:** Relevance AI

**Location:** Sydney, Australia

**Salary:** Above market rate, commensurate with experience

**Job Description:**

We're seeking an exceptional AI Solutions Engineer to join our team at Relevance AI in Sydney, Australia. As an AI Solutions Engineer, you will play a critical role in designing, developing, and deploying AI-powered solutions for our clients. You will work closely with our clients to understand their business needs and develop scalable, efficient, and innovative AI solutions that drive business value.

**Responsibilities:**

* Collaborate with clients to understand their business requirements and develop AI solutions that meet their needs
* Design, develop, and deploy AI models, algorithms, and applications using machine learning, deep learning, and natural language processing
* Work with cross-functional teams to integrate AI solutions with existing systems and infrastructure
* Conduct proof-of-concepts, prototyping, and testing to validate AI solutions
* Develop and maintain technical documentation and knowledge base for AI solutions
* Stay up-to-date with industry trends and advancements in AI and machine learning

**Requirements:**

* 5+ years of experience in AI, machine learning, or data science
* Bachelor's or Master's degree in Computer Science, Engineering, or a related field
* Strong programming skills in Python, Java, or C++
* Experience with AI frameworks and libraries such as TensorFlow, PyTorch, or scikit-learn
* Knowledge of data engineering concepts, data modeling, and data architecture
* Excellent problem-solving skills and attention to detail
* Strong communication and collaboration skills
* Experience working with cloud-based infrastructure such as AWS, Azure, or GCP
* Familiarity with Agile development methodologies

**Nice to Have:**

* Experience with DevOps tools such as Docker, Kubernetes, or Jenkins
* Knowledge of computer vision, natural language processing, or recommender systems
* Experience with data visualization tools such as Tableau, Power BI, or D3.js
* Certifications in AI, machine learning, or data science

**What We Offer:**

* Above market rate salary
* Opportunities for professional growth and development in AI and machine learning
* Collaborative and dynamic work environment
* Flexible working arrangements and remote work options
* Access to the latest tools and technologies in AI and machine learning
* Recognition and rewards for outstanding performance

If you're passionate about AI and machine learning, and are looking for a challenging and rewarding role, please submit your application, including your resume and a cover letter, to [insert contact information]. We can't wait to hear from you!"
Founding Research Engineer,Harmony Intelligence,https://www.harmonyintelligence.com/,-,REMOTE,https://airtable.com/appdBGMK0YRuXwVJ9/shrOScH1jzUzbZHSO,Full-time,alex@harmonyintelligence.com,,63,,"**Job Title:** Founding Research Engineer
**Company:** Harmony Intelligence
**Salary:** Competitive Salary (dependent on experience)
**Location:** REMOTE

**Job Description:**

We're seeking a highly skilled and innovative Founding Research Engineer to join our team at Harmony Intelligence, where you'll play a pivotal role in shaping the future of AI-driven research and development. As a founding member of our team, you'll have the unique opportunity to contribute to the architectural design and development of our cutting-edge technology stack.

**Responsibilities:**

* Collaborate with cross-functional teams to design, develop, and deploy novel AI/ML models and algorithms that drive business value
* Conduct hands-on research and development in areas such as computer vision, natural language processing, and reinforcement learning
* Develop and maintain large-scale datasets, and design experiments to validate hypotheses
* Work closely with data scientists and engineers to integrate research outcomes into production-ready systems
* Participate in code reviews, ensure high-quality implementation, and adhere to best practices
* Communicate research findings and insights to both technical and non-technical stakeholders
* Stay up-to-date with industry trends and advancements, applying this knowledge to drive innovation and improvement within the organization

**Requirements:**

* **Experience:** 5+ years of experience in research and development, preferably in AI/ML or related fields
* **Education:** Master's or Ph.D. in Computer Science, Electrical Engineering, or a related field
* **Skills:**
	+ Proficiency in Python, with experience in popular ML/DL frameworks (e.g., TensorFlow, PyTorch)
	+ Strong understanding of mathematical concepts, including linear algebra, calculus, and probability
	+ Experience with computer vision, natural language processing, or reinforcement learning
	+ Familiarity with cloud-based infrastructure (e.g., AWS, GCP) and containerization (e.g., Docker)
	+ Excellent communication and collaboration skills
	+ Strong problem-solving skills, with the ability to work independently and within a team
* **Nice to Have:**
	+ Experience with distributed computing, GPU acceleration, or high-performance computing
	+ Knowledge of data engineering tools and technologies (e.g., Apache Spark, Hadoop)
	+ Contributions to open-source projects or research publications in AI/ML

**What We Offer:**

* Competitive salary and benefits package
* Opportunity to shape the direction of a cutting-edge AI/ML startup
* Collaborative and dynamic work environment with a team of experts
* Flexible remote work arrangement with regular virtual team-building events
* Professional development opportunities, including conference attendance and training programs

If you're a motivated and talented engineer looking to drive innovation in AI/ML, we encourage you to apply for this exciting opportunity!"
